index,Timestamp,ID,Which game have you just played?,01. I think that I would like to play this game frequently.,02. I found the game unnecessarily complex.,03. I thought the game was easy to play.,04. I think that I would need the support of a technical person to be able to play this game.,05. I found the various functions in this game were well integrated.,06. I thought there was too much inconsistency in this game.,07. I would imagine that most people would learn to play this game very quickly.,08. I found the game very cumbersome to play.,09. I felt very confident using the game.,10. I needed to learn a lot of things before I could get going with this game.,11. I would recommend this game to a friend.,"12. Write here your remarks about the game: which feature was missing, what failed or glitched, what was great:"
43,6/3/2019 9:55:08,16,Superbugs: the Game,1,1,0,0,1,1,0,0,0,1,1,
44,6/3/2019 9:36:25,17,Dr Bug: Microbe Mayhem,0,2,0,0,1,3,0,0,0,4,0,4.5
45,6/3/2019 10:04:37,17,Fungal Invaders,3,2,1,0,2,2,0,2,1,0,2,
46,6/3/2019 9:54:20,17,Superbugs: the Game,1,3,0,0,1,2,0,4,0,0,1,
47,6/3/2019 9:39:59,31,Dr Bug: Microbe Mayhem,2,1,0,0,1,1,0,3,0,1,2,game is good but there should be other options to kill that bacteria because waiting for medicine takes lot of time to kill that bacteria and ultimately led to lose us game.
48,6/3/2019 10:09:39,31,Fungal Invaders,1,1,0,0,0,2,0,3,0,0,1,it was great among all
49,6/3/2019 9:55:18,31,Superbugs: the Game,3,3,2,0,2,3,1,2,2,1,2,this game is so annyoning. 
50,6/3/2019 9:35:31,6,Dr Bug: Microbe Mayhem,3,0,0,0,0,0,0,0,0,0,1,Very easy to play
51,6/3/2019 10:07:38,6,Fungal Invaders,2,1,1,0,1,0,0,0,0,0,1,easy to play
52,6/3/2019 9:53:31,6,Superbugs: the Game,2,1,1,0,0,0,0,0,0,0,1,easy to play
53,6/3/2019 9:42:42,3,Dr Bug: Microbe Mayhem,1,1,1,1,2,1,1,2,1,1,1,The game was interesting and quite confusing at first but as i started playing i was able to understand and it would be informative for teenagers who lack knowledge about bacteria and virus and especially about intake of healthy food .
54,6/3/2019 10:10:14,3,Fungal Invaders,3,2,1,0,2,2,1,2,1,1,2,It was okay
55,6/3/2019 9:54:48,3,Superbugs: the Game,4,3,3,2,3,3,3,2,3,4,3,I definitely found the game really complex and i was confused but it was a little informative not much of an information was there but yes was fine.
56,6/3/2019 9:39:01,8,Dr Bug: Microbe Mayhem,1,0,1,1,1,1,1,1,1,1,1,The game was really very simple and yet explained the concept of the game really nicely. The hints can be improved. The graphics can be improved.
57,6/3/2019 10:11:58,8,Fungal Invaders,0,1,1,0,1,0,1,1,1,0,1,The syringe movement function is really very cumbersome sometimes. Overall I liked it.
58,6/3/2019 9:54:35,8,Superbugs: the Game,0,0,0,0,0,0,0,0,0,1,0,This game was amazing.I liked its graphics and its easy functioning. It was even better than Dr Bug: Microbe Mayhem. 
59,6/3/2019 9:36:24,13,Dr Bug: Microbe Mayhem,4,2,2,0,1,0,1,0,0,0,0,Great
60,6/3/2019 10:07:18,13,Fungal Invaders,1,0,1,0,0,0,1,0,1,0,1,Great
61,6/3/2019 9:53:49,13,Superbugs: the Game,4,0,0,0,0,0,0,0,0,0,0,Great
62,6/3/2019 9:37:33,33,Dr Bug: Microbe Mayhem,0,3,0,1,3,3,0,4,3,4,1,
63,6/3/2019 10:10:37,33,Fungal Invaders,1,3,1,0,0,4,1,3,3,0,1,
64,6/3/2019 9:53:33,33,Superbugs: the Game,0,1,0,0,0,0,0,0,0,0,0,
65,6/3/2019 10:08:27,29,Fungal Invaders,3,1,3,3,2,1,3,1,2,4,2,The instructions were not very clear
66,6/3/2019 9:37:31,29,Dr Bug: Microbe Mayhem,1,0,0,0,1,1,1,1,1,1,1,accent
67,6/3/2019 9:54:39,29,Superbugs: the Game,0,1,3,0,1,1,1,4,0,1,0,The background sound was not nice but the message was delivered well
68,6/2/2019 15:32:57,11,Superbugs: the Game,4,0,0,0,0,0,0,1,0,0,0,Amazing Game. Well explained natural selection among bacteria.
69,6/3/2019 9:38:14,30,Dr Bug: Microbe Mayhem,0,1,0,1,0,3,0,4,0,4,0,excellent game easy to access of newbies
70,6/3/2019 10:07:15,30,Fungal Invaders,1,3,3,0,0,1,1,3,1,4,0,
71,6/3/2019 9:56:46,30,Superbugs: the Game,1,0,0,1,0,0,1,0,0,4,0,
72,6/3/2019 9:35:55,5,Dr Bug: Microbe Mayhem,3,1,0,0,2,2,1,1,1,0,3,"different types of diet which can restore the healthy gut bacteria can be included as eating fruits is not the only way to do so and also lifestyle changes associated with maintaining good gut health can make the game more interesting and a little complex, thus fun to play."
73,6/3/2019 10:06:27,5,Fungal Invaders,4,0,0,0,2,3,1,1,2,0,4,
74,6/3/2019 9:50:03,5,Superbugs: the Game,4,0,0,0,1,2,0,0,0,0,3,
