Which game have you just played?,01. I think that I would like to play this game frequently.,02. I found the game unnecessarily complex.,03. I thought the game was easy to play.,04. I think that I would need the support of a technical person to be able to play this game.,05. I found the various functions in this game were well integrated.,06. I thought there was too much inconsistency in this game.,07. I would imagine that most people would learn to play this game very quickly.,08. I found the game very cumbersome to play.,09. I felt very confident using the game.,10. I needed to learn a lot of things before I could get going with this game.,11. I would recommend this game to a friend.,"12. Write here your remarks about the game: which feature was missing, what failed or glitched, what was great:"
Fungal Invasion,2,3,4,3,3,3,2,3,4,5,5,
Dr Bug: Microbe Mayhem,4,2,2,4,1,5,1,1,2,1,2,This game was absolutely good but the time of food regenration was a little more and with antibiotics a few times only the good bacteria and virus gets kiled which affects the health of the person very much.
Superbugs: the Game,1,5,1,5,1,5,1,5,1,4,1,This game was a very nice one in spreading awareness that it takes time to heel from a strong bacteria and we have also to care about the small precautions of saving ourself from time to time from diseases . Altough it was a very simple game but very interesting one also. 
Fungal Invasion,2,4,1,5,1,4,2,5,1,5,1,This is a very good game and is very easy to play and also can be a way to educate people that the type of disease is only cured by certain drugs
Dr Bug: Microbe Mayhem,3,4,1,5,2,5,1,4,2,5,2,
Superbugs: the Game,1,5,1,5,2,5,1,4,1,5,1,
Fungal Invasion,4,2,2,4,4,4,4,2,4,4,4,
Dr Bug: Microbe Mayhem,2,4,2,4,4,4,,2,2,4,2,"overall good to play, maybe features can be"
Superbugs: the Game,2,2,2,3,2,2,4,4,2,4,5,interesting but a bit complex
Fungal Invasion,2,2,4,4,2,2,2,2,4,4,2,interesting but took some time to get it right
Dr Bug: Microbe Mayhem,5,5,1,5,2,3,1,4,1,5,,"The game was very well made and served the purpose. It was easy to use. However, I am sure most kids would find this game boring and wont be playing it more than once. Though, playing it once is enough to give the person a basic understanding about microbes. "
Superbugs: the Game,2,5,1,5,2,4,1,5,1,5,3,"The game was very well made. It was intuitive and easy to play. Simple to understand and well designed. The game would most certainly catch the eye, and possibly played again. "
Fungal Invasion,5,4,4,5,5,3,4,2,3,5,4,"This game was poorly made. Even though it was clear what the game was trying to indicate, It was laggy and very shabbily designed. The objective is simple, but the game in itself is bad. "
Dr Bug: Microbe Mayhem,3,4,1,5,3,5,1,5,2,4,3,"according to me as a student, this game is not of any use.. We have not been told that what is the purpose of this game. we don't know why we are playing it."
Superbugs: the Game,2,4,1,5,5,4,2,5,2,4,3,i don't know what is the need of playing this game. 
Fungal Invasion,1,5,1,5,4,5,1,4,2,5,1,It was simply a fun. As i have played 2 more games before. so this become quite easy.
Dr Bug: Microbe Mayhem,5,5,4,5,3,3,2,5,5,5,1,instructions need to be well formulated
Superbugs: the Game,1,5,1,1,1,5,4,5,1,1,1,
Fungal Invasion,2,5,1,5,1,5,1,4,1,1,1,
Dr Bug: Microbe Mayhem,3,3,3,4,2,3,1,3,2,2,3,"it can be made more systematic
"
Superbugs: the Game,2,4,1,5,2,4,1,5,1,4,2,
Fungal Invasion,4,4,2,4,3,3,2,4,2,3,5,
Dr Bug: Microbe Mayhem,1,5,1,5,1,5,1,4,2,4,1,The game was quiet interesting but i found the revival of healthy food or pills take times and we need it continuously throughout the game. 
Superbugs: the Game,1,5,,5,1,5,1,5,1,4,1,
Fungal Invasion,1,4,2,5,1,5,1,5,2,4,1,
Dr Bug: Microbe Mayhem,4,4,2,5,2,4,1,2,2,4,4,"other food items can be include, dragging, action of antibacteria"
Superbugs: the Game,5,1,1,5,2,5,1,1,1,5,5,"nothing, not interesting.....bored"
Fungal Invasion,5,1,5,5,5,1,3,3,3,5,5,
Dr Bug: Microbe Mayhem,1,5,1,5,5,5,1,5,1,5,1,everything was good:-)
Superbugs: the Game,1,5,1,5,1,5,1,5,1,5,1,good one
Fungal Invasion,1,5,1,5,1,5,1,5,1,5,1,awesome 
Dr Bug: Microbe Mayhem,3,5,1,5,2,4,1,3,3,5,2,the ratio of antibiotic effect and healthy diet on a particular system should be mentioned while playing game
Dr Bug: Microbe Mayhem,3,5,1,5,2,4,1,3,3,5,2,the ratio of antibiotic effect and healthy diet on a particular system should be mentioned while playing game
Superbugs: the Game,2,3,2,4,2,5,1,3,2,4,2,survival threat  indication at the end was nice
Fungal Invasion,1,3,3,5,3,,2,3,3,4,1,"score of not killed fungal invaders should also be mentioned , but really a nice game"
Dr Bug: Microbe Mayhem,2,4,2,4,2,4,2,4,2,4,1,Instructions need to be given properly
Superbugs: the Game,2,4,2,4,2,4,2,4,2,4,2,Technical details need to be told to the gamer
Dr Bug: Microbe Mayhem,4,5,1,5,1,5,1,5,1,5,2,Very easy to play
Superbugs: the Game,3,4,2,5,1,5,1,5,1,5,2,easy to play
Fungal Invasion,3,4,2,5,2,5,1,5,1,5,2,easy to play
Dr Bug: Microbe Mayhem,2,4,2,4,3,4,2,3,2,4,2,The game was interesting and quite confusing at first but as i started playing i was able to understand and it would be informative for teenagers who lack knowledge about bacteria and virus and especially about intake of healthy food .
Superbugs: the Game,5,2,4,3,4,2,4,3,4,1,4,I definitely found the game really complex and i was confused but it was a little informative not much of an information was there but yes was fine.
Fungal Invasion,4,3,2,5,3,3,2,3,2,4,3,It was okay
Dr Bug: Microbe Mayhem,1,3,1,5,3,3,1,2,1,5,1,easy to play
Superbugs: the Game,2,5,1,5,3,3,1,3,1,5,1,
Fungal Invasion,1,5,1,5,3,3,1,3,1,5,1,
Dr Bug: Microbe Mayhem,2,5,2,4,2,4,2,4,2,4,2,The game was really very simple and yet explained the concept of the game really nicely. The hints can be improved. The graphics can be improved.
Superbugs: the Game,1,5,1,5,1,5,1,5,1,4,1,This game was amazing.I liked its graphics and its easy functioning. It Dr Bug: Microbe Mayhem. 
Fungal Invasion,1,4,2,5,2,5,2,4,2,5,2,The syringe movement function is really very cumbersome sometimes. Overall I liked it.
Dr Bug: Microbe Mayhem,5,3,3,5,2,5,2,5,1,5,1,Great
Superbugs: the Game,5,5,1,5,1,5,1,5,1,5,1,Great
Fungal Invasion,2,5,2,5,1,5,2,5,2,5,2,Great
Dr Bug: Microbe Mayhem,3,4,2,5,,5,2,4,2,5,2,The game is simple and apt to make a layman understand the harmful effects of antibiotics.The instructions could be in form of text supporting the audio in the intro section. While playing the game the effects of actions made by the player could also be in form of text.
Superbugs: the Game,1,4,1,5,1,5,1,5,1,3,1,This game was very much up to the mark in all its features and in the basic understanding of development of resistant species of bacteria and their harmful effects in generations to come.
Fungal Invasion,1,5,1,5,1,5,1,5,1,4,1,The instructions on fungal pathogens were not clear.The game could have been more user friendly.
Superbugs: the Game,1,4,1,5,1,5,1,5,1,5,1,
Dr Bug: Microbe Mayhem,1,2,1,4,4,2,1,1,4,1,2,
Fungal Invasion,2,2,2,5,1,1,2,2,4,5,2,
Dr Bug: Microbe Mayhem,3,4,1,5,2,4,1,2,1,4,3,game is good but there should be other options to kill that bacteria because waiting for medicine takes lot of time to kill that bacteria and ultimately led to lose us game.
Superbugs: the Game,4,2,3,5,3,2,2,3,3,4,3,this game is so annyoning. 
Fungal Invasion,2,4,1,5,1,3,1,2,1,5,2,it was great among all
Superbugs: the Game,5,5,1,5,1,5,1,4,1,5,1,Amazing Game. Well explained natural selection among bacteria.
Superbugs: the Game,2,4,2,5,3,3,,,,,,
Dr Bug: Microbe Mayhem,3,3,2,5,3,3,2,3,3,4,3,
Fungal Invasion,5,5,5,3,5,5,5,1,5,3,5,
Dr Bug: Microbe Mayhem,1,4,1,4,1,2,1,1,1,1,1,excellent game easy to access of newbies
Superbugs: the Game,2,5,1,4,1,5,2,5,1,1,1,
Fungal Invasion,2,2,4,5,1,4,2,2,2,1,1,
Dr Bug: Microbe Mayhem,5,3,3,3,2,4,4,2,2,1,4,i didnt get it
Superbugs: the Game,1,4,1,5,1,4,1,4,2,2,3,drugs killing bacteria were great
Fungal Invasion,1,5,2,4,2,4,1,4,2,4,2,same colour antibiotics used to kill same colour fungi made it easy to play
Dr Bug: Microbe Mayhem,1,5,1,4,2,5,1,5,1,5,1,Beautiful idea to spread the fact that bacteria are our freinds as well as foe. There should be screen representing the icons that facilitates further in playing the game. There should be some means to share if a player is playing good or bad
Superbugs: the Game,2,5,1,5,2,5,1,5,1,5,2,It was ok but not that fascinating.
Fungal Invasion,1,5,,5,1,5,1,5,1,5,1,It is a fabulous game to teach the kids about the specificity of antibiotics against antigens. I liked it most.
